0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,label
7.5,6.27273,4.047619,3.975208,3.0322581,4.5454550000000005,8.42105,1.8125,-2.25,0.07767199999999996,-0.242105,-0.328125,-0.0967742,0.0,-0.434783,-0.491525,-0.125,-0.0679612,-0.542169,-4.39837,2.600004,2.873786,-0.7777799999999999,-0.344,-0.15625,-0.134615,-0.517241,-0.6,-0.138462,-0.188119,-0.431579,-0.546875,-0.15625,-0.126214,-0.431579,-0.484375,6.0
7.5,4.090909,-0.7142900000000001,1.7768579999999998,2.9032258,3.090909,5.052630000000001,-1.75,-2.25,0.07767199999999996,-0.326316,-0.5,-0.0967742,-0.0769231,-0.521739,-0.559322,-0.25,-0.0679612,-0.542169,-6.902438,1.000003,-0.03882999999999992,-3.44444,-0.568,-0.15625,-0.0769231,-0.517241,-0.6,-0.0153846,-0.049505,-0.431579,-0.609375,-0.15625,-0.126214,-0.494737,-0.609375,6.0
12.0,9.909089999999999,8.33333,5.4793386,3.354839,7.272729999999999,10.526316,2.75,3.4375,6.368924,-0.0315789,-0.359375,0.516129,0.461538,0.130435,-0.152542,0.21875,0.184466,-0.108434,-2.349596,3.8000002,3.0679600000000002,-1.88889,-0.44,0.3125,0.346154,0.103448,-0.233333,0.2,0.207921,-0.0105263,-0.3125,-0.15625,0.00970874,-0.326316,-0.4375,6.0
7.5,4.818182,1.19048,2.702482,2.774194,2.36364,5.89474,-0.25,-3.875,-2.368924,-0.410526,-0.5,0.0,-0.0769231,-0.347826,-0.559322,-0.25,-0.203883,-0.542169,-4.39837,1.000003,-0.03882999999999992,-1.6666699999999999,-0.392,0.21875,0.153846,-0.0114943,-0.383333,-0.138462,-0.049505,-0.347368,-0.484375,0.09375,0.0873786,-0.0315789,-0.21875,6.0
7.5,4.818182,2.1428599999999998,2.702482,3.0322581,3.090909,6.73684,-1.0,-0.625,-1.320388,-0.410526,-0.4375,0.16129,0.230769,-0.0652174,-0.305085,-0.03125,0.00970874,-0.349398,-4.39837,1.000003,-0.03882999999999992,-1.6666699999999999,-0.392,0.21875,0.384615,0.287356,-0.183333,0.230769,0.267327,-0.0315789,-0.28125,-0.03125,-0.126214,-0.431579,-0.546875,6.0
7.5,4.818182,1.19048,3.0495840000000003,2.9032258,2.36364,5.89474,-0.25,-2.25,-1.320388,-0.410526,-0.4375,0.0,0.0,-0.434783,-0.423729,-0.03125,0.00970874,-0.349398,-3.4878100000000005,3.8000002,2.0970874,-2.55556,-0.456,-0.03125,0.0,-0.448276,-0.45,-0.0153846,-0.049505,-0.347368,-0.40625,-0.15625,-0.126214,-0.347368,-0.40625,6.0
7.5,4.818182,3.09524,2.702482,3.0322581,3.818182,9.263158,-0.25,-2.25,-1.320388,-0.557895,-0.5625,0.0,0.0769231,-0.26087,-0.372881,-0.03125,0.00970874,-0.349398,-3.4878100000000005,2.600004,1.320388,-2.55556,-0.456,0.09375,0.153846,-0.172414,-0.383333,0.107692,0.188119,-0.263158,-0.34375,-0.03125,0.0873786,-0.178947,-0.28125,6.0
7.5,4.818182,2.1428599999999998,3.0495840000000003,3.16129,5.27273,9.263158,1.8125,4.25,8.815538,0.0947368,-0.265625,0.0,0.0,-0.173913,-0.372881,0.125,0.165049,-0.0361446,-1.8943019999999997,7.3999939999999995,4.42718,2.11111,-0.216,-0.03125,0.0,-0.172414,-0.383333,0.107692,0.108911,-0.178947,-0.34375,0.09375,0.165049,-0.178947,-0.28125,6.0
7.5,4.818182,2.1428599999999998,2.702482,2.9032258,3.090909,6.73684,-0.25,-2.25,0.07767199999999996,-0.410526,-0.5625,-0.0967742,0.0,-0.347826,-0.491525,-0.125,0.00970874,-0.349398,-3.4878100000000005,2.600004,1.320388,-1.6666699999999999,-0.52,-0.15625,0.0,-0.356322,-0.45,-0.0153846,0.108911,-0.347368,-0.40625,-0.15625,-0.0679612,-0.431579,-0.484375,6.0
12.5,10.454550000000001,9.7619,5.8264462,3.677419,9.454550000000001,14.31579,5.5625,7.5,11.961163999999998,0.515789,-0.078125,0.548387,0.461538,0.304348,-0.152542,0.375,0.320388,0.060241,0.15447200000000016,6.9999970000000005,3.65049,1.222222,-0.264,0.1875,0.326923,-0.103448,-0.216667,0.0769231,0.267327,-0.0315789,-0.234375,0.0625,0.165049,-0.115789,-0.296875,6.0
